PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
63,6/16/23,11:44.0,6,2,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,2,Top,2,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.12324,-0.721849,-5.152081,2373.991515,225.323223,01:30,4.81433,3.10358,5.86624,-20.78281,16.01339,14.81213,2.40915,-0.4608,79.14726,-4.673269,-2.510655,0.436589,,,,,,,,,,,,-9.19898,8.79532,-2.69384,50,4.74378,10.84266,-127.31454,-2.2326,-14.86383,29.92951,-17.96243,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,65a64640-0c8a-11ee-86e8-e178d624069f,86.33389,,,8.97598,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,11:44.0,2023-06-16T17:11:43.9929318-04:00,2023-06-16T21:11:43.9929318Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,bf69ba18-0cd4-40d8-ab9c-a29de9679cf2,54.6282,-128.39794,14.96476,4.81283,-1.58239,-8.98122,-3.09606,11.38071,-7.43192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
64,6/16/23,12:02.5,6,3,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,2,Top,2,1,1,Slider,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.006,-0.463092,-5.84053,2480.687162,229.763411,01:45,4.96227,2.88586,5.62335,-20.708,16.58706,17.9578,2.80221,-1.08665,78.96312,-4.387686,-2.658133,0.439539,,,,,,,,,,,,-10.89268,8.92115,-2.39807,50,4.90966,12.18753,-126.96063,-1.67229,-17.52159,29.50806,-17.82382,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,70aed430-0c8a-11ee-86e8-e178d624069f,85.75452,,,9.04288,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,12:02.5,2023-06-16T17:12:02.4973798-04:00,2023-06-16T21:12:02.4973798Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,e1daf762-686d-4b77-ba2a-22a280d40082,54.87096,-128.08773,14.75403,4.96053,-0.99149,-8.91191,-2.87637,12.8568,-8.76079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
65,6/16/23,12:22.3,6,4,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,2,Top,2,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4905,-1.201822,-6.287208,2435.82626,224.573058,01:30,4.90386,2.76828,5.75011,-18.11643,18.08568,16.4082,2.26841,-1.74092,79.79911,-4.677833,-3.377204,0.43305,,,,,,,,,,,,-10.40371,9.97477,-2.25424,50,4.79275,13.46277,-128.8981,-3.24311,-17.13296,32.07909,-15.74751,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,7c8d28b0-0c8a-11ee-86e8-e178d624069f,87.03939,,,9.69139,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,12:22.3,2023-06-16T17:12:22.3414758-04:00,2023-06-16T21:12:22.3414758Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,f5f038ec-4296-449a-b254-0ca2bf4dbf0d,54.74274,-130.07308,16.03954,4.90097,-2.66632,-7.87376,-2.75885,14.09031,-8.56648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
66,6/16/23,12:39.4,6,5,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,2,Top,2,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.56974,1.628034,-4.952218,2248.837839,69.371646,08:15,4.70444,3.10672,4.85175,-60.18019,-5.72544,-20.92682,1.23672,-3.33671,66.85459,-9.217947,-8.604584,0.531116,,,,,,,,,,,,8.4093,-2.86354,-2.59797,50,4.81489,10.1447,-107.3865,0.97946,9.4643,24.85932,-35.39684,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,86ca2940-0c8a-11ee-86e8-e178d624069f,70.96839,,,7.71515,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,12:39.4,2023-06-16T17:12:39.4084326-04:00,2023-06-16T21:12:39.4084326Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,02e74554-3e11-4fe4-aef4-898fd30ec069,55.64425,-108.68526,12.42966,4.71541,2.82874,-17.69842,-3.11505,9.65024,4.73215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
67,6/16/23,13:03.2,6,6,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,2,Top,2,3,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,74.71933,1.860424,-3.255617,2212.827027,82.299337,08:45,4.54372,3.20837,4.97309,-52.94956,0.14118,-13.4665,1.89187,-0.99205,67.36002,-7.762962,-5.622702,0.524422,,,,,,,,,,,,5.53717,-0.0076,-2.88208,50,4.6808,6.67746,-107.95188,1.71625,6.38874,22.69066,-32.18281,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,94ea0950-0c8a-11ee-86e8-e178d624069f,71.87428,,,7.35931,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,13:03.2,2023-06-16T17:13:03.2298470-04:00,2023-06-16T21:13:03.2298470Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,19c84f99-6355-4ab4-8317-00b906f642ec,55.52224,-109.10644,11.34533,4.55181,3.35379,-16.09141,-3.21357,6.35239,3.19437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
81,6/16/23,21:33.3,1,1,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,3,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.30804,0.207559,-3.462798,2314.801683,230.13366,01:45,4.92853,2.89075,5.16802,-23.9395,15.55028,16.78064,3.12927,1.02636,77.00539,-4.290073,-0.49811,0.452287,,,,,,,,,,,,-9.55091,8.09493,-2.58136,50,4.93047,6.78875,-124.73933,-0.35581,-14.71092,30.33791,-19.70571,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,c4e1e4b0-0c8b-11ee-86e8-e178d624069f,83.33747,,,9.30266,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,21:33.3,2023-06-16T17:21:33.2706790-04:00,2023-06-16T21:21:33.2706790Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,c2cd5128-992a-49ff-bf47-09854a2bdb68,55.32618,-126.02806,15.16895,4.92781,0.48127,-9.85285,-2.88301,7.41366,-7.35546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
82,6/16/23,21:57.7,1,2,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,3,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.39239,1.939367,-4.861734,2378.967642,213.199695,01:00,4.99147,2.92686,5.40016,-17.73044,21.02336,12.70288,5.33845,-0.58116,76.9341,-1.49404,-2.616539,0.448052,,,,,,,,,,,,-8.03756,10.17481,-2.50133,50,5.15319,10.10155,-125.83261,3.7931,-12.48661,32.92051,-16.36717,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,d3676460-0c8b-11ee-86e8-e178d624069f,84.12513,,,10.45829,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,21:57.7,2023-06-16T17:21:57.6540134-04:00,2023-06-16T21:21:57.6540134Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,c0ba7ca5-be18-49c2-80a1-b69d45c988a8,55.08727,-127.15658,16.46026,4.98741,4.45135,-8.18359,-2.91768,10.60372,-6.2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
83,6/16/23,22:18.8,1,3,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,3,Top,0,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,73.67652,3.334404,-3.159134,2069.016323,64.590185,08:15,4.69036,3.23587,4.87694,-58.27401,-3.18524,-11.12879,2.99748,-0.68363,65.9982,-7.246899,-5.110677,0.534199,101.2324,6.461666,-12.571418,1382.375797,,,,120.73022,118.50303,-10.840912,0.898435,4.37347,-2.19079,-2.91517,50,4.96968,6.30794,-106.28838,4.21822,4.8746,22.57659,-34.61586,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,e0116d50-0c8b-11ee-86e8-e178d624069f,70.5588,5.90025,,7.67832,,,,2.26429,2.97477,0.72218,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,22:18.8,2023-06-16T17:22:18.7896294-04:00,2023-06-16T21:22:18.7896294Z,GroundBall,v3,,,,"King, Will",1000098174,Right,YAR_RED,37123191-4d43-416c-81d3-730dc0430421,55.61889,-107.47526,11.2883,4.70009,6.03801,-17.30793,-3.24005,6.05168,2.4373,330.267947,2.32552,143.06471,-15.28773,,,,,,,3.06146,15.38977,-21.0199,,,,,,,0.68335,-31.51853,6.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
84,6/16/23,22:58.4,2,1,"Bard, Parker",1000098168,Right,YAR_RED,"Culpepper, Kaelen ",1000112508,Right,HAR_MAR,Undefined,3,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.51145,2.012026,-3.172515,2071.549007,68.782314,08:15,4.64875,3.18931,4.61721,-58.0385,-3.50177,-14.54457,1.72877,-1.04194,66.73177,-8.463179,-5.713558,0.531516,,,,,,,,,,,,5.9141,-1.82614,-2.84868,50,4.80297,6.56236,-107.49095,1.71041,6.71122,23.85484,-34.24631,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,f7b75a00-0c8b-11ee-86e8-e178d624069f,70.91502,,,7.77968,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,22:58.4,2023-06-16T17:22:58.4455142-04:00,2023-06-16T21:22:58.4455142Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,b4253572-42d1-4e6e-9e3a-c4b20e90a1ab,55.87741,-108.78747,11.92742,4.65943,3.57171,-17.12315,-3.19544,6.19761,3.35561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
85,6/16/23,23:15.1,2,2,"Bard, Parker",1000098168,Right,YAR_RED,"Culpepper, Kaelen ",1000112508,Right,HAR_MAR,Undefined,3,Top,1,0,1,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,88.48449,-0.775467,-3.737517,2408.836836,232.218298,01:45,4.76885,2.9863,5.61043,-22.56875,14.34013,16.66465,2.16274,0.88158,79.15999,-5.039417,-0.769419,0.437257,68.52864,79.356501,87.926048,,,,,,8.88428,,,-9.72473,7.92225,-2.67771,50,4.68835,7.62786,-127.97435,-2.46756,-15.78282,31.67024,-19.31656,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,019d12d0-0c8c-11ee-86e8-e178d624069f,86.20203,59.83893,,9.3245,,,,2.24735,2.23543,-0.89307,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,23:15.1,2023-06-16T17:23:15.1313894-04:00,2023-06-16T21:23:15.1313894Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,d600b5de-5986-40c9-9a99-f13a5f6b2569,54.88462,-129.1775,15.83512,4.76815,-1.73372,-9.65828,-2.97888,8.22745,-7.89141,,2.24736,0.67161,-9.05133,0.0486,0.59352,-2.13254,4.11842,-4.14413,1.6935,2.23543,98.7793,-21.04808,2.85336,-0.41582,0.03039,0.1448,-0.16547,0.0684,-0.89307,18.55137,-6.10004,-0.16358,0.45597,-1.51767,2.91435,-2.93086,1.19764,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
86,6/16/23,23:50.8,3,1,"Bard, Parker",1000098168,Right,YAR_RED,"Fitzgerald, Hunter",1000254923,Left,HAR_MAR,Undefined,3,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.6023,2.041399,-0.671941,1585.118399,221.502161,01:30,4.75824,3.16282,5.09666,-26.72726,15.46505,12.24859,4.4556,3.55032,74.45458,-2.971913,1.492713,0.467507,,,,,,,,,,,,-6.22276,7.41237,-3.10916,50,4.93105,0.8567,-120.85924,3.41649,-8.99397,28.5687,-21.46074,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,16db4e50-0c8c-11ee-86e8-e178d624069f,80.62434,,,9.14772,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,23:50.8,2023-06-16T17:23:50.7675622-04:00,2023-06-16T21:23:50.7675622Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,17e5f57f-5c49-4097-803a-b56543211aed,55.39328,-122.12745,14.28435,4.75824,4.36916,-10.73037,-3.15605,1.25596,-4.49699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
87,6/16/23,24:05.3,3,2,"Bard, Parker",1000098168,Right,YAR_RED,"Fitzgerald, Hunter",1000254923,Left,HAR_MAR,Undefined,3,Top,2,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.71881,1.413847,-2.204332,2084.720009,55.450034,07:45,4.63828,3.2487,4.53432,-62.96039,-7.68382,-14.10379,0.73904,-0.0265,66.78622,-9.867735,-4.672988,0.535109,,,,,,,,,,,,6.15961,-3.74378,-3.00451,50,4.72595,4.67362,-106.6062,0.37954,6.93164,22.1091,-36.38704,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,1f927230-0c8c-11ee-86e8-e178d624069f,70.43885,,,6.93259,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,24:05.3,2023-06-16T17:24:05.2863462-04:00,2023-06-16T21:24:05.2863462Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,c3d180c2-d47b-41e0-a7a8-075b9cbe62fe,55.96413,-107.83601,11.05455,4.64854,2.40355,-18.19352,-3.25375,4.28804,3.46582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
88,6/16/23,24:20.4,3,3,"Bard, Parker",1000098168,Right,YAR_RED,"Fitzgerald, Hunter",1000254923,Left,HAR_MAR,Undefined,3,Top,2,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,73.86672,2.79267,-1.540294,2228.760044,56.185177,07:45,4.63325,3.23495,4.68411,-62.36846,-7.33276,-14.09985,2.09068,0.59705,66.30411,-8.468521,-4.013556,0.533941,74.76089,-29.629229,34.971078,,,,,4.82408,1.85315,18.298737,0.03862,6.35217,-4.00051,-3.06482,50,4.86108,3.44378,-106.72469,2.99807,7.13448,22.85121,-36.66726,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,288f51a0-0c8c-11ee-86e8-e178d624069f,70.59284,2.09909,,7.56262,,,,1.55583,2.09909,-0.60074,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,24:20.4,2023-06-16T17:24:20.3830758-04:00,2023-06-16T21:24:20.3830758Z,GroundBall,v3,,,,"King, Will",1000098174,Right,YAR_RED,db659f79-ec05-4589-866d-6b5ddebacb62,55.81274,-107.9621,11.4256,4.64497,4.98364,-18.33363,-3.24084,3.05744,3.56724,,1.55454,78.31026,,,,,,,,2.09999,-54.35321,,,,,,,,-0.60165,54.77455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
98,6/16/23,32:01.9,1,1,"Bard, Parker",1000098168,Right,YAR_RED,"Jones, Kennedy",1000133767,Right,HAR_MAR,Undefined,4,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.21242,2.083891,-4.004443,1711.881814,247.673168,02:15,4.88558,2.91804,5.22693,-33.96545,9.008,18.29489,4.01977,0.67205,74.18207,-4.183498,-0.773026,0.471815,,,,,,,,,,,,-10.27449,4.30524,-2.56265,50,5.05315,7.52764,-118.85403,3.15589,-14.56869,24.63629,-26.06948,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,3b9c86e0-0c8d-11ee-86e8-e178d624069f,79.88821,,,8.03035,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,32:01.9,2023-06-16T17:32:01.8999782-04:00,2023-06-16T21:32:01.8999782Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,fe4f8fd7-3912-4ca3-b04a-2c14477ea50a,55.26837,-119.9411,12.31815,4.88852,4.30619,-13.03474,-2.90898,8.17048,-7.28435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
99,6/16/23,32:15.2,1,2,"Bard, Parker",1000098168,Right,YAR_RED,"Jones, Kennedy",1000133767,Right,HAR_MAR,Undefined,4,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.79957,0.92742,-2.662326,2066.905602,74.185541,08:30,4.6825,3.12519,4.69095,-59.64121,-3.21543,-18.6543,0.59393,-0.9588,66.01757,-9.795068,-5.932423,0.540643,,,,,,,,,,,,8.28819,-1.39232,-2.83683,50,4.72316,5.62543,-105.26788,-0.33937,9.0844,21.73442,-33.70014,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,4398bf30-0c8d-11ee-86e8-e178d624069f,69.71785,,,6.782,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,32:15.2,2023-06-16T17:32:15.2381414-04:00,2023-06-16T21:32:15.2381414Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,be4b6f60-55d7-4dcf-ada5-fe058f233ab7,55.807,-106.46009,10.86721,4.69108,1.50919,-16.85007,-3.13174,5.12712,4.5422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
100,6/16/23,32:35.0,1,3,"Bard, Parker",1000098168,Right,YAR_RED,"Jones, Kennedy",1000133767,Right,HAR_MAR,Undefined,4,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.04483,-1.690308,-5.872846,2343.4914,226.561749,01:30,4.9091,2.90375,5.37366,-20.39481,17.41509,16.83627,1.61605,-1.21838,78.78379,-5.54737,-2.903116,0.442562,,,,,,,,,,,,-10.31111,9.68469,-2.38804,50,4.74304,12.2703,-126.83213,-4.41142,-16.48916,30.35976,-16.68662,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,4f603050-0c8d-11ee-86e8-e178d624069f,85.16871,,,9.26103,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,32:35.0,2023-06-16T17:32:35.0152678-04:00,2023-06-16T21:32:35.0152678Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,3f17a3a1-5107-40d2-9c65-5c0a57b63818,55.11934,-128.05168,15.17988,4.90678,-3.74112,-8.34331,-2.89424,12.93267,-8.24458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
101,6/16/23,32:52.6,1,4,"Bard, Parker",1000098168,Right,YAR_RED,"Jones, Kennedy",1000133767,Right,HAR_MAR,Undefined,4,Top,0,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,87.7746,-1.958056,-5.033306,2420.071975,230.852352,01:45,4.88049,3.10663,5.55869,-22.46096,15.39568,17.04717,1.17159,-0.18738,78.32881,-6.201485,-2.007701,0.442835,,,,,,,,,,,,-10.35355,8.87902,-2.68256,50,4.69647,10.39664,-126.60443,-5.06319,-16.40205,31.61746,-18.1079,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,59d38320-0c8d-11ee-86e8-e178d624069f,85.11616,,,9.44579,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,32:52.6,2023-06-16T17:32:52.6197222-04:00,2023-06-16T21:32:52.6197222Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,24fe6ac5-0537-4c92-afad-0835f7fd11db,54.93537,-127.83102,15.80873,4.87927,-4.3607,-9.05395,-3.09824,11.03296,-8.20102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
102,6/16/23,33:25.0,2,1,"Bard, Parker",1000098168,Right,YAR_RED,"Levari, Kenny",1000099220,Left,HAR_MAR,Undefined,4,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.53022,-0.991873,-4.838842,2379.495971,238.200173,02:00,4.65698,3.08396,5.45492,-24.83001,13.53261,19.25851,1.65592,0.14849,77.65374,-5.668813,-1.425174,0.445785,,,,,,,,,,,,-11.36355,7.60024,-2.66989,50,4.55286,9.80861,-126.23426,-3.01938,-17.80874,32.58133,-20.26306,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,6d2c5cd0-0c8d-11ee-86e8-e178d624069f,84.55295,,,9.87648,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,33:25.0,2023-06-16T17:33:25.0464230-04:00,2023-06-16T21:33:25.0464230Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,89a26d3e-f09e-40bc-89fc-d43396916b0f,55.03739,-127.5278,16.29066,4.65676,-2.2149,-10.13153,-3.07334,10.51565,-8.90437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
103,6/16/23,33:41.5,2,2,"Bard, Parker",1000098168,Right,YAR_RED,"Levari, Kenny",1000099220,Left,HAR_MAR,Undefined,4,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.1002,-0.589912,-5.450858,2377.03352,219.879626,01:15,4.63932,3.14153,5.18212,-20.28544,18.42517,14.18237,2.39131,-0.82053,78.13225,-4.417159,-2.956573,0.447802,,,,,,,,,,,,-8.75591,9.75056,-2.6447,50,4.56961,11.32869,-125.60427,-1.95298,-13.78147,28.94258,-16.82706,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,76f9aba0-0c8d-11ee-86e8-e178d624069f,84.17203,,,8.96796,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,33:41.5,2023-06-16T17:33:41.4702054-04:00,2023-06-16T21:33:41.4702054Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,d83f38cb-2441-486b-8f66-3d4ed722a37b,55.31097,-126.82215,14.47129,4.63689,-1.2449,-8.41353,-3.13361,11.9086,-6.89073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
